date,price,company,sector
2017-12-20,85.52,MSFT,technology
2017-12-19,85.83,MSFT,technology
2017-12-18,86.38,MSFT,technology
2017-12-15,86.85,MSFT,technology
2017-12-14,84.69,MSFT,technology
2017-12-13,85.35,MSFT,technology
2017-12-12,85.58,MSFT,technology
2017-11-12,85.23,MSFT,technology
2017-08-12,84.16,MSFT,technology
2017-07-12,82.49,MSFT,technology
2017-06-12,82.78,MSFT,technology
2017-05-12,81.59,MSFT,technology
2017-04-12,81.08,MSFT,technology
2017-01-12,84.26,MSFT,technology
2017-11-30,84.17,MSFT,technology
2017-11-29,83.34,MSFT,technology
2017-11-28,84.88,MSFT,technology
2017-11-27,83.87,MSFT,technology
2017-11-24,83.26,MSFT,technology
2017-11-22,83.11,MSFT,technology
2017-11-21,83.72,MSFT,technology
2017-11-20,82.53,MSFT,technology
2017-11-17,82.4,MSFT,technology
2017-11-16,83.2,MSFT,technology
2017-11-15,82.98,MSFT,technology
2017-11-14,84.05,MSFT,technology
2017-11-13,83.93,MSFT,technology
2017-10-11,83.87,MSFT,technology
2017-09-11,84.09,MSFT,technology
2017-08-11,84.56,MSFT,technology
2017-07-11,84.27,MSFT,technology
2017-06-11,84.47,MSFT,technology
2017-03-11,84.14,MSFT,technology
2017-02-11,84.05,MSFT,technology
2017-01-11,83.18,MSFT,technology
2017-10-31,83.18,MSFT,technology
2017-10-30,83.89,MSFT,technology
2017-10-27,83.81,MSFT,technology
2017-10-26,78.76,MSFT,technology
2017-10-25,78.63,MSFT,technology
2017-10-24,78.86,MSFT,technology
2017-10-23,78.83,MSFT,technology
2017-10-20,78.81,MSFT,technology
2017-10-19,77.91,MSFT,technology
2017-10-18,77.61,MSFT,technology
2017-10-17,77.59,MSFT,technology
2017-10-16,77.65,MSFT,technology
2017-10-13,77.49,MSFT,technology
2017-12-10,77.12,MSFT,technology
2017-11-10,76.42,MSFT,technology
2017-10-10,76.29,MSFT,technology
2017-09-10,76.29,MSFT,technology
2017-06-10,76.0,MSFT,technology
2017-05-10,75.97,MSFT,technology
2017-04-10,74.69,MSFT,technology
